1 Corinthians 15:58,I can do all things through him who strengthens me.
1 John 4:4,"…you are from God and have overcome them, for he who is in you is greater than he who is in the world."
1 Peter 5:6-7,"Humble yourselves, therefore, under the mighty hand of God so that at the proper time he may exalt you, casting all your anxieties on him, because he cares for you."
2 Chronicles 15:7,"But you, take courage! Do not let your hands be weak, for you work shall be rewarded."
Colossians 3:23,"Whatever you do, work heartily, as for the Lord and not for men."
Deuteronomy 31:6,"Be strong and courageous. Do not fear or be in dread of them, for it is the Lord your God who goes with you. He will not leave you or forsake you."
Galatians 6:9,"And let us not grow weary of doing good, for in due season we will reap, if we do not give up."
Isaiah 40:31,But they who wait for the Lord shall renew their strength; they shall mount up with wings like eagles; they shall run and not be weary; they shall walk and not faint.
Isaiah 41:10,"Fear not, for I am with you; be not dismayed, for I am your God; I will strengthen you, I will help you, I will uphold you with my righteous right hand."
John 16:33,"I have said these things to you, that in me you may have peace. In the world you will have tribulation. But take heart; I have overcome the world."
John 8:12,"Again Jesus spoke to them, saying, ""I am the light of the world. Whoever follows me will not walk in darkness, but will have the light of life."""
Joshua 1:9,"…Be strong and courageous. Do not be frightened, and do not be dismayed, for the Lord your God is with you wherever you go."
Lamentations 3:22-23,The steadfast love of the Lord never ceases; his mercies never come to an end; they are new every morning; great is your faithfulness.
Luke 12:48b,"…Everyone to whom much was given, of him much will be required, and from him to whom they entrusted much, they will demand the more."
Matthew 11:28,"Come to me, all who labor and are heavy laden, and I will give you rest."
Matthew 6:25,"Therefore I tell you, do not be anxious about your life, what you will eat or what you will drink, nor about your body, what you will put on. Is not life more than food, and the body more than clothing?"
Matthew 6:33,"But seek first the kingdom of God and his righteousness, and all these things will be added to you."
Philippians 4:13,I can do all things through him who strengthens me.
Philippians 4:6,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let you requests be made known to God. "
Proverbs 18:10,The name of the Lord is a strong tower; the righteous man runs into it and is safe.
Proverbs 21:21,"Whoever pursues righteousness and kindness will find life, righteousness, and honor."
Proverbs 27:19,"As in water face reflects face, so the heart of man reflects the man."
Proverbs 3:5-6,"Trust in the Lord with all your heart, and do not lean on your own understanding. In all your ways acknowledge him, and he will make straight your paths."
Psalm 118:6,The Lord is on my side; I will not fear. What can man do to me?
Psalm 34:8,"Oh, taste and see that the Lord is good! Blessed is the man who takes refuge in him!"
Psalm 37:23-24,"The steps of a man are established by the Lord, when delights in his way; though he fall, he shall not be cast headlong, for the Lord upholds his hand."
Romans 12:12,"Rejoice in hope, be patient in tribulation, be constant in prayer."
Romans 12:2,"Do not be conformed to this world, but be transformed by the renewal of your mind, that by testing you may discern what is the will of God, what is good and acceptable and perfect."
Romans 15:13,"May the God of hope fill you with all joy and peace in believing, so that by the power of the Holy Spirit you may abound in hope."
Romans 8:28,"And we know that for those who love God all things work together for good, for those who are called according to his purpose."
Philippians 4:7,"And the peace of God, which surpasses all understanding, will guard your hearts and your minds in Christ Jesus."
